mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.816369342803956,0.7111316221596728,0.17965493202209473,0.002958875678991356,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9727100159056985,0.9769730281331799,0.9781849754227819,0.9742362982115353,0.9764811586657308,0.9757170952677854,0.0019741772417678906,6
28.861101198196412,1.2488736875334232,0.29810614585876466,0.008183365994039994,10,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9730393618131219,0.976994203450101,0.978332696564474,0.9739961514727155,0.9767058934385058,0.9758136613477836,0.001976632299441612,5
14.861295413970947,0.4517164365667955,0.17700634002685547,0.014122567694040977,10,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9730234454681534,0.9773124191875326,0.9780675656152488,0.9742267892956349,0.9765437373049342,0.9758347913743007,0.0019058124559905713,4
27.46502923965454,0.6936706741461646,0.3171119689941406,0.025318178151012814,10,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9730742021067067,0.9773584455367652,0.9782660276106954,0.9741175033518262,0.9767687116386421,0.975916978048927,0.001981958461379054,2
16.646321058273315,0.23287397360898246,0.25899510383605956,0.012431852368843603,20,2,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9729260310491161,0.9775039825577183,0.9768590809560865,0.974259391293008,0.9757844622376108,0.9754665896187079,0.0016794529322104335,8
31.977812004089355,0.4218001161755633,0.49054107666015623,0.017479164419972174,20,2,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.9733812970703278,0.9779657642803141,0.9770962178699858,0.9746615358651802,0.976317778109614,0.9758845186390843,0.0016582712264079553,3
16.249257278442382,0.2947708771377574,0.2575901985168457,0.012332892901470448,20,5,100,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9731081108416393,0.9775103751062229,0.976879537111301,0.9745332853608082,0.9764420836158154,0.9756946784071573,0.0016308540570394317,7
31.313275384902955,0.498176509211096,0.5344013214111328,0.11285159200570487,20,5,200,"{'classifier__max_depth': 20, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9733357305442646,0.9780551534169024,0.9772903648951919,0.9747127827956916,0.9767840169204549,0.976035609714501,0.0017465565703009376,1
16.754816389083864,0.3954115875503071,0.28472437858581545,0.011720840732212235,,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9686649486950727,0.97448110618364,0.9735327449773746,0.970623069983064,0.9698054206250782,0.971421458092846,0.0022210953819845392,12
34.17259087562561,0.24800854659582325,0.4494495391845703,0.06249259258034686,,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.970031172614092,0.9763111596423922,0.9743391649712209,0.9716557329227329,0.9718962552101175,0.972846697072111,0.0022126398099369875,11
18.67546124458313,0.2706040312836078,0.2733925819396973,0.010555179072211986,,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.9705526857634416,0.9771191245021271,0.9754426520211958,0.9730721884932422,0.9733717109947554,0.9739116723549524,0.0022320721476419155,10
24.192061281204225,3.078610424968324,0.28836894035339355,0.013327446476063357,,5,200,"{'classifier__max_depth': None, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.9717049972000009,0.9772660465752561,0.9757404915102695,0.9736722090772483,0.9741432036696477,0.9745053896064846,0.0018875523669234738,9
