mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1493224143981933,0.26715703471764846,0.059524154663085936,0.0033876595286726134,0.1,lbfgs,"{'classifier__C': 0.1, 'classifier__solver': 'lbfgs'}",0.9604923047932152,0.9677487937260972,0.9668560476918212,0.9618986529621792,0.9667874319946403,0.9647566462335906,0.0029609882595698403,2
1.545905590057373,0.11940743149898074,0.04298520088195801,0.007602335080344754,0.1,liblinear,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.960500396045507,0.9677478881150591,0.9668552486232581,0.9619016894227187,0.9667909987907497,0.9647592441994586,0.0029582650529849965,1
1.0961685180664062,0.11528155127051433,0.0576751708984375,0.013234220315209232,1.0,lbfgs,"{'classifier__C': 1, 'classifier__solver': 'lbfgs'}",0.9604883123989926,0.9677416553802671,0.9668469383102022,0.9618906090053109,0.9667866334581978,0.9647508297105942,0.002960848616904183,3
1.373640489578247,0.07621983692233757,0.04552412033081055,0.006083047919715697,1.0,liblinear,"{'classifier__C': 1, 'classifier__solver': 'liblinear'}",0.9604895899651437,0.9677438927722438,0.9668474710225777,0.9618865071200204,0.966783545783954,0.964750201332788,0.0029613771125544886,4
1.1160536289215088,0.05853007176585227,0.047356033325195314,0.008424665009476412,10.0,lbfgs,"{'classifier__C': 10, 'classifier__solver': 'lbfgs'}",0.960483095670541,0.9677404834130413,0.9668459794279265,0.9618905024628359,0.966786314043621,0.9647492750035932,0.0029619551577942157,5
1.0343027114868164,0.1432045509856134,0.02962212562561035,0.006302097586460377,10.0,liblinear,"{'classifier__C': 10, 'classifier__solver': 'liblinear'}",0.9604880994713005,0.9677426675337804,0.9668469915814398,0.9618851220678446,0.9667831731336142,0.964749210757596,0.002961707082740792,6
